date,open,high,low,close
2021-09-01,1.1811953783035278,1.1860004663467407,1.1795096397399902,1.1810280084609985
2021-09-02,1.1842306852340698,1.1872254610061646,1.1834795475006104,1.1840906143188477
2021-09-03,1.1874228715896606,1.1907596588134766,1.186816930770874,1.1876484155654907
2021-09-06,1.1885942220687866,1.1886366605758667,1.1857051849365234,1.1885942220687866
2021-09-07,1.187394618988037,1.1887779235839844,1.1838297843933105,1.1875073909759521
2021-09-08,1.1845533847808838,1.185400128364563,1.1803170442581177,1.184356927871704
2021-09-09,1.1820330619812012,1.1841325759887695,1.1806097030639648,1.1819101572036743
2021-09-10,1.1823545694351196,1.185300350189209,1.1819353103637695,1.1825922727584839
2021-09-13,1.1812511682510376,1.1817537546157837,1.1770604848861694,1.1811953783035278
2021-09-14,1.1810698509216309,1.1846994161605835,1.1801999807357788,1.1811953783035278
2021-09-15,1.18035888671875,1.183300256729126,1.1800997257232666,1.1804981231689453
2021-09-16,1.1819353103637695,1.1823126077651978,1.1751710176467896,1.1819995641708374
2021-09-17,1.17648446559906,1.1789672374725342,1.1729655265808105,1.176747441291809
2021-09-20,1.1728830337524414,1.1737089157104492,1.1700559854507446,1.1729930639266968
2021-09-21,1.1725666522979736,1.1748948097229004,1.1715912818908691,1.1730204820632935
2021-09-22,1.1726078987121582,1.1744533777236938,1.1717147827148438,1.17229163646698
2021-09-23,1.1688934564590454,1.175100564956665,1.1684194803237915,1.168770432472229
2021-09-24,1.1741775274276733,1.1748120784759521,1.1701655387878418,1.1740258932113647
2021-09-27,1.1722092628479004,1.1728004217147827,1.1686612367630005,1.1723054647445679
2021-09-28,1.1696043014526367,1.1705996990203857,1.1669973134994507,1.1696795225143433
2021-09-29,1.168688416481018,1.1691995859146118,1.1610087156295776,1.1686338186264038
2021-09-30,1.1602274179458618,1.161170482635498,1.1570056676864624,1.1601601839065552
2021-10-01,1.1574207544326782,1.1608995199203491,1.1563901901245117,1.1574475765228271
2021-10-04,1.160725712776184,1.1640088558197021,1.1588560342788696,1.160725712776184
2021-10-05,1.1616560220718384,1.16225004196167,1.1583056449890137,1.1618449687957764
2021-10-06,1.1595144271850586,1.1599582433700562,1.1530168056488037,1.1596084833145142
